Team1W,Team1L,Team1MIN,Team1OFFRTG,Team1DEFRTG,Team1AST/TO,Team1AST_RATIO,Team1OREB%,Team1DREB%,Team1REB%,Team1TS%,Team1PACE,Team1PIE,Team2W,Team2L,Team2MIN,Team2OFFRTG,Team2DEFRTG,Team2AST/TO,Team2AST_RATIO,Team2OREB%,Team2DREB%,Team2REB%,Team2TS%,Team2PACE,Team2PIE,HomeWin
3,11,672.0,103.9,112.8,1.3,14.6,29.1,72.6,50.1,52.8,95.82,43.8,7,7,682.0,110.6,107.7,1.84,17.2,26.4,73.2,49.9,56.3,101.6,51.0,1
7,8,730.0,109.5,105.9,1.9,18.2,26.8,73.8,49.9,56.0,99.62,52.3,8,6,672.0,105.6,103.1,1.67,18.0,27.0,77.0,51.7,54.8,98.93,52.0,1
5,9,677.0,103.9,106.6,1.38,15.8,28.7,71.1,49.4,53.3,102.13,47.7,3,13,768.0,101.1,111.7,1.33,17.0,25.4,70.2,47.2,53.6,106.0,44.2,1
9,6,730.0,115.5,111.9,1.45,16.3,30.6,68.2,49.2,58.8,94.72,50.4,3,12,730.0,97.5,107.0,1.38,16.2,20.6,72.8,46.7,52.0,100.96,44.6,0
7,9,768.0,111.5,110.6,1.65,17.9,33.0,72.9,53.2,56.3,103.75,51.7,5,10,720.0,107.1,112.9,1.85,17.1,26.6,73.4,49.5,53.8,98.73,46.5,1
7,9,768.0,102.6,108.5,1.5,17.4,25.8,74.6,49.6,54.4,99.5,47.6,9,6,720.0,112.3,104.7,1.92,19.5,32.6,73.8,53.2,56.0,97.1,54.3,1
10,4,672.0,105.0,103.5,1.34,16.2,26.8,72.6,50.7,54.9,102.61,50.9,8,7,720.0,110.2,110.9,1.46,15.1,30.2,74.3,51.9,54.8,100.57,48.5,0
5,8,624.0,107.6,112.1,1.76,17.6,25.6,70.7,47.9,55.2,105.19,47.7,8,6,677.0,116.8,108.9,1.92,19.1,26.8,77.7,52.7,59.6,102.98,54.3,1
12,4,783.0,110.8,107.4,1.6,18.4,26.8,72.9,51.3,58.6,102.34,54.9,5,10,730.0,109.6,110.3,1.58,15.5,30.4,70.6,49.4,54.3,99.88,47.1,1
5,10,730.0,106.5,112.5,1.21,13.3,30.5,70.3,50.1,53.3,101.06,44.7,7,8,725.0,108.4,112.5,1.77,17.6,26.0,69.1,47.1,55.9,102.95,48.9,1
9,7,768.0,109.4,108.1,1.97,19.6,23.5,71.6,47.9,57.0,98.91,51.6,5,10,720.0,107.1,112.9,1.85,17.1,26.6,73.4,49.5,53.8,98.73,46.5,0
9,6,740.0,107.7,106.3,1.78,18.2,23.0,71.4,47.2,56.1,95.32,51.0,3,12,725.0,103.2,110.8,1.43,16.9,22.3,68.7,45.9,55.0,99.48,45.2,1
7,7,672.0,105.9,105.1,1.76,17.1,28.1,71.2,49.4,53.5,100.36,50.9,8,7,720.0,110.2,110.9,1.46,15.1,30.2,74.3,51.9,54.8,100.57,48.5,1
12,3,730.0,114.8,106.8,1.61,18.1,28.9,72.0,51.6,60.2,100.87,54.6,10,4,672.0,105.0,103.5,1.34,16.2,26.8,72.6,50.7,54.9,102.61,50.9,0
5,9,677.0,103.9,106.6,1.38,15.8,28.7,71.1,49.4,53.3,102.13,47.7,8,4,586.0,109.3,105.6,1.57,16.3,31.1,75.7,52.1,54.2,100.51,50.2,0
9,6,730.0,115.5,111.9,1.45,16.3,30.6,68.2,49.2,58.8,94.72,50.4,8,6,672.0,105.6,103.1,1.67,18.0,27.0,77.0,51.7,54.8,98.93,52.0,0
3,11,672.0,103.9,112.8,1.3,14.6,29.1,72.6,50.1,52.8,95.82,43.8,9,7,768.0,109.4,108.1,1.97,19.6,23.5,71.6,47.9,57.0,98.91,51.6,1
3,12,730.0,97.5,107.0,1.38,16.2,20.6,72.8,46.7,52.0,100.96,44.6,5,10,730.0,106.5,112.5,1.21,13.3,30.5,70.3,50.1,53.3,101.06,44.7,0
7,9,768.0,111.5,110.6,1.65,17.9,33.0,72.9,53.2,56.3,103.75,51.7,12,3,720.0,110.3,100.3,1.68,16.5,31.4,73.6,52.2,54.6,101.5,55.1,1
7,8,730.0,109.5,105.9,1.9,18.2,26.8,73.8,49.9,56.0,99.62,52.3,9,6,720.0,112.3,104.7,1.92,19.5,32.6,73.8,53.2,56.0,97.1,54.3,1
12,3,730.0,114.8,106.8,1.61,18.1,28.9,72.0,51.6,60.2,100.87,54.6,7,9,768.0,102.6,108.5,1.5,17.4,25.8,74.6,49.6,54.4,99.5,47.6,0
9,6,740.0,107.7,106.3,1.78,18.2,23.0,71.4,47.2,56.1,95.32,51.0,7,7,682.0,110.7,111.1,1.78,18.6,27.9,72.4,51.3,57.3,98.74,51.2,1
7,7,672.0,105.9,105.1,1.76,17.1,28.1,71.2,49.4,53.5,100.36,50.9,11,3,687.0,114.3,109.1,1.7,16.1,27.9,71.5,50.4,57.5,101.45,52.4,1
3,13,768.0,101.1,111.7,1.33,17.0,25.4,70.2,47.2,53.6,106.0,44.2,7,7,682.0,110.6,107.7,1.84,17.2,26.4,73.2,49.9,56.3,101.6,51.0,1
7,8,725.0,108.4,112.5,1.77,17.6,26.0,69.1,47.1,55.9,102.95,48.9,8,4,576.0,110.4,104.5,1.33,16.3,28.5,72.6,51.7,58.7,99.46,54.3,1
5,10,730.0,109.6,110.3,1.58,15.5,30.4,70.6,49.4,54.3,99.88,47.1,3,12,725.0,103.2,110.8,1.43,16.9,22.3,68.7,45.9,55.0,99.48,45.2,0
8,6,677.0,116.8,108.9,1.92,19.1,26.8,77.7,52.7,59.6,102.98,54.3,8,7,720.0,110.2,110.9,1.46,15.1,30.2,74.3,51.9,54.8,100.57,48.5,1
12,3,720.0,110.3,100.3,1.68,16.5,31.4,73.6,52.2,54.6,101.5,55.1,3,11,672.0,103.9,112.8,1.3,14.6,29.1,72.6,50.1,52.8,95.82,43.8,0
8,4,586.0,109.3,105.6,1.57,16.3,31.1,75.7,52.1,54.2,100.51,50.2,9,7,768.0,109.4,108.1,1.97,19.6,23.5,71.6,47.9,57.0,98.91,51.6,0
5,10,730.0,106.5,112.5,1.21,13.3,30.5,70.3,50.1,53.3,101.06,44.7,3,13,768.0,101.1,111.7,1.33,17.0,25.4,70.2,47.2,53.6,106.0,44.2,0
5,10,720.0,107.1,112.9,1.85,17.1,26.6,73.4,49.5,53.8,98.73,46.5,5,9,677.0,103.9,106.6,1.38,15.8,28.7,71.1,49.4,53.3,102.13,47.7,1
12,4,783.0,110.8,107.4,1.6,18.4,26.8,72.9,51.3,58.6,102.34,54.9,8,6,672.0,105.6,103.1,1.67,18.0,27.0,77.0,51.7,54.8,98.93,52.0,0
9,6,720.0,112.3,104.7,1.92,19.5,32.6,73.8,53.2,56.0,97.1,54.3,9,6,740.0,107.7,106.3,1.78,18.2,23.0,71.4,47.2,56.1,95.32,51.0,1
3,12,730.0,97.5,107.0,1.38,16.2,20.6,72.8,46.7,52.0,100.96,44.6,7,9,768.0,111.5,110.6,1.65,17.9,33.0,72.9,53.2,56.3,103.75,51.7,1
8,4,576.0,110.4,104.5,1.33,16.3,28.5,72.6,51.7,58.7,99.46,54.3,7,9,768.0,102.6,108.5,1.5,17.4,25.8,74.6,49.6,54.4,99.5,47.6,1
12,3,730.0,114.8,106.8,1.61,18.1,28.9,72.0,51.6,60.2,100.87,54.6,5,8,624.0,107.6,112.1,1.76,17.6,25.6,70.7,47.9,55.2,105.19,47.7,0
7,7,672.0,105.9,105.1,1.76,17.1,28.1,71.2,49.4,53.5,100.36,50.9,10,4,672.0,105.0,103.5,1.34,16.2,26.8,72.6,50.7,54.9,102.61,50.9,1
9,6,730.0,115.5,111.9,1.45,16.3,30.6,68.2,49.2,58.8,94.72,50.4,12,3,720.0,110.3,100.3,1.68,16.5,31.4,73.6,52.2,54.6,101.5,55.1,1
7,8,730.0,109.5,105.9,1.9,18.2,26.8,73.8,49.9,56.0,99.62,52.3,3,12,725.0,103.2,110.8,1.43,16.9,22.3,68.7,45.9,55.0,99.48,45.2,0
11,3,687.0,114.3,109.1,1.7,16.1,27.9,71.5,50.4,57.5,101.45,52.4,8,7,720.0,110.2,110.9,1.46,15.1,30.2,74.3,51.9,54.8,100.57,48.5,1
8,6,677.0,116.8,108.9,1.92,19.1,26.8,77.7,52.7,59.6,102.98,54.3,7,7,682.0,110.7,111.1,1.78,18.6,27.9,72.4,51.3,57.3,98.74,51.2,0
7,8,725.0,108.4,112.5,1.77,17.6,26.0,69.1,47.1,55.9,102.95,48.9,9,7,768.0,109.4,108.1,1.97,19.6,23.5,71.6,47.9,57.0,98.91,51.6,1
7,7,682.0,110.6,107.7,1.84,17.2,26.4,73.2,49.9,56.3,101.6,51.0,12,4,783.0,110.8,107.4,1.6,18.4,26.8,72.9,51.3,58.6,102.34,54.9,1
8,4,586.0,109.3,105.6,1.57,16.3,31.1,75.7,52.1,54.2,100.51,50.2,3,13,768.0,101.1,111.7,1.33,17.0,25.4,70.2,47.2,53.6,106.0,44.2,0
8,6,672.0,105.6,103.1,1.67,18.0,27.0,77.0,51.7,54.8,98.93,52.0,5,9,677.0,103.9,106.6,1.38,15.8,28.7,71.1,49.4,53.3,102.13,47.7,0
5,10,730.0,109.6,110.3,1.58,15.5,30.4,70.6,49.4,54.3,99.88,47.1,9,6,720.0,112.3,104.7,1.92,19.5,32.6,73.8,53.2,56.0,97.1,54.3,0
7,8,730.0,109.5,105.9,1.9,18.2,26.8,73.8,49.9,56.0,99.62,52.3,7,9,768.0,102.6,108.5,1.5,17.4,25.8,74.6,49.6,54.4,99.5,47.6,1
7,7,672.0,105.9,105.1,1.76,17.1,28.1,71.2,49.4,53.5,100.36,50.9,5,8,624.0,107.6,112.1,1.76,17.6,25.6,70.7,47.9,55.2,105.19,47.7,1
5,10,730.0,106.5,112.5,1.21,13.3,30.5,70.3,50.1,53.3,101.06,44.7,12,3,730.0,114.8,106.8,1.61,18.1,28.9,72.0,51.6,60.2,100.87,54.6,1
8,6,677.0,116.8,108.9,1.92,19.1,26.8,77.7,52.7,59.6,102.98,54.3,11,3,687.0,114.3,109.1,1.7,16.1,27.9,71.5,50.4,57.5,101.45,52.4,1
3,12,725.0,103.2,110.8,1.43,16.9,22.3,68.7,45.9,55.0,99.48,45.2,7,9,768.0,111.5,110.6,1.65,17.9,33.0,72.9,53.2,56.3,103.75,51.7,1
3,11,672.0,103.9,112.8,1.3,14.6,29.1,72.6,50.1,52.8,95.82,43.8,3,12,730.0,97.5,107.0,1.38,16.2,20.6,72.8,46.7,52.0,100.96,44.6,1
12,4,783.0,110.8,107.4,1.6,18.4,26.8,72.9,51.3,58.6,102.34,54.9,9,6,740.0,107.7,106.3,1.78,18.2,23.0,71.4,47.2,56.1,95.32,51.0,1
7,8,725.0,108.4,112.5,1.77,17.6,26.0,69.1,47.1,55.9,102.95,48.9,5,9,677.0,103.9,106.6,1.38,15.8,28.7,71.1,49.4,53.3,102.13,47.7,0
5,10,730.0,109.6,110.3,1.58,15.5,30.4,70.6,49.4,54.3,99.88,47.1,7,7,682.0,110.7,111.1,1.78,18.6,27.9,72.4,51.3,57.3,98.74,51.2,1
9,6,730.0,115.5,111.9,1.45,16.3,30.6,68.2,49.2,58.8,94.72,50.4,5,10,720.0,107.1,112.9,1.85,17.1,26.6,73.4,49.5,53.8,98.73,46.5,1
12,3,720.0,110.3,100.3,1.68,16.5,31.4,73.6,52.2,54.6,101.5,55.1,8,4,576.0,110.4,104.5,1.33,16.3,28.5,72.6,51.7,58.7,99.46,54.3,1
10,4,672.0,105.0,103.5,1.34,16.2,26.8,72.6,50.7,54.9,102.61,50.9,5,8,624.0,107.6,112.1,1.76,17.6,25.6,70.7,47.9,55.2,105.19,47.7,0
7,7,682.0,110.6,107.7,1.84,17.2,26.4,73.2,49.9,56.3,101.6,51.0,8,4,586.0,109.3,105.6,1.57,16.3,31.1,75.7,52.1,54.2,100.51,50.2,0
8,6,672.0,105.6,103.1,1.67,18.0,27.0,77.0,51.7,54.8,98.93,52.0,9,6,730.0,115.5,111.9,1.45,16.3,30.6,68.2,49.2,58.8,94.72,50.4,1
9,7,768.0,109.4,108.1,1.97,19.6,23.5,71.6,47.9,57.0,98.91,51.6,5,10,730.0,106.5,112.5,1.21,13.3,30.5,70.3,50.1,53.3,101.06,44.7,0
8,6,677.0,116.8,108.9,1.92,19.1,26.8,77.7,52.7,59.6,102.98,54.3,9,6,720.0,112.3,104.7,1.92,19.5,32.6,73.8,53.2,56.0,97.1,54.3,0
7,8,730.0,109.5,105.9,1.9,18.2,26.8,73.8,49.9,56.0,99.62,52.3,8,7,720.0,110.2,110.9,1.46,15.1,30.2,74.3,51.9,54.8,100.57,48.5,1
3,13,768.0,101.1,111.7,1.33,17.0,25.4,70.2,47.2,53.6,106.0,44.2,10,4,672.0,105.0,103.5,1.34,16.2,26.8,72.6,50.7,54.9,102.61,50.9,1
9,7,768.0,109.4,108.1,1.97,19.6,23.5,71.6,47.9,57.0,98.91,51.6,7,8,725.0,108.4,112.5,1.77,17.6,26.0,69.1,47.1,55.9,102.95,48.9,1
12,4,783.0,110.8,107.4,1.6,18.4,26.8,72.9,51.3,58.6,102.34,54.9,5,9,677.0,103.9,106.6,1.38,15.8,28.7,71.1,49.4,53.3,102.13,47.7,0
7,9,768.0,111.5,110.6,1.65,17.9,33.0,72.9,53.2,56.3,103.75,51.7,12,3,730.0,114.8,106.8,1.61,18.1,28.9,72.0,51.6,60.2,100.87,54.6,0
8,4,576.0,110.4,104.5,1.33,16.3,28.5,72.6,51.7,58.7,99.46,54.3,3,12,730.0,97.5,107.0,1.38,16.2,20.6,72.8,46.7,52.0,100.96,44.6,0
7,9,768.0,102.6,108.5,1.5,17.4,25.8,74.6,49.6,54.4,99.5,47.6,9,6,740.0,107.7,106.3,1.78,18.2,23.0,71.4,47.2,56.1,95.32,51.0,0
5,10,730.0,109.6,110.3,1.58,15.5,30.4,70.6,49.4,54.3,99.88,47.1,7,7,672.0,105.9,105.1,1.76,17.1,28.1,71.2,49.4,53.5,100.36,50.9,1
3,12,725.0,103.2,110.8,1.43,16.9,22.3,68.7,45.9,55.0,99.48,45.2,12,3,720.0,110.3,100.3,1.68,16.5,31.4,73.6,52.2,54.6,101.5,55.1,1
5,10,720.0,107.1,112.9,1.85,17.1,26.6,73.4,49.5,53.8,98.73,46.5,5,8,624.0,107.6,112.1,1.76,17.6,25.6,70.7,47.9,55.2,105.19,47.7,1
7,7,682.0,110.7,111.1,1.78,18.6,27.9,72.4,51.3,57.3,98.74,51.2,11,3,687.0,114.3,109.1,1.7,16.1,27.9,71.5,50.4,57.5,101.45,52.4,1
7,7,682.0,110.6,107.7,1.84,17.2,26.4,73.2,49.9,56.3,101.6,51.0,3,11,672.0,103.9,112.8,1.3,14.6,29.1,72.6,50.1,52.8,95.82,43.8,1
9,6,730.0,115.5,111.9,1.45,16.3,30.6,68.2,49.2,58.8,94.72,50.4,9,6,720.0,112.3,104.7,1.92,19.5,32.6,73.8,53.2,56.0,97.1,54.3,0
3,13,768.0,101.1,111.7,1.33,17.0,25.4,70.2,47.2,53.6,106.0,44.2,7,7,682.0,110.7,111.1,1.78,18.6,27.9,72.4,51.3,57.3,98.74,51.2,1
12,4,783.0,110.8,107.4,1.6,18.4,26.8,72.9,51.3,58.6,102.34,54.9,9,7,768.0,109.4,108.1,1.97,19.6,23.5,71.6,47.9,57.0,98.91,51.6,1
3,11,672.0,103.9,112.8,1.3,14.6,29.1,72.6,50.1,52.8,95.82,43.8,7,8,725.0,108.4,112.5,1.77,17.6,26.0,69.1,47.1,55.9,102.95,48.9,1
3,12,730.0,97.5,107.0,1.38,16.2,20.6,72.8,46.7,52.0,100.96,44.6,7,8,730.0,109.5,105.9,1.9,18.2,26.8,73.8,49.9,56.0,99.62,52.3,1
5,9,677.0,103.9,106.6,1.38,15.8,28.7,71.1,49.4,53.3,102.13,47.7,5,10,730.0,109.6,110.3,1.58,15.5,30.4,70.6,49.4,54.3,99.88,47.1,0
8,4,586.0,109.3,105.6,1.57,16.3,31.1,75.7,52.1,54.2,100.51,50.2,12,3,730.0,114.8,106.8,1.61,18.1,28.9,72.0,51.6,60.2,100.87,54.6,0
9,6,740.0,107.7,106.3,1.78,18.2,23.0,71.4,47.2,56.1,95.32,51.0,8,6,677.0,116.8,108.9,1.92,19.1,26.8,77.7,52.7,59.6,102.98,54.3,0
7,9,768.0,111.5,110.6,1.65,17.9,33.0,72.9,53.2,56.3,103.75,51.7,7,7,672.0,105.9,105.1,1.76,17.1,28.1,71.2,49.4,53.5,100.36,50.9,1
5,10,730.0,106.5,112.5,1.21,13.3,30.5,70.3,50.1,53.3,101.06,44.7,12,3,720.0,110.3,100.3,1.68,16.5,31.4,73.6,52.2,54.6,101.5,55.1,1
7,9,768.0,102.6,108.5,1.5,17.4,25.8,74.6,49.6,54.4,99.5,47.6,8,4,576.0,110.4,104.5,1.33,16.3,28.5,72.6,51.7,58.7,99.46,54.3,1
5,10,720.0,107.1,112.9,1.85,17.1,26.6,73.4,49.5,53.8,98.73,46.5,3,12,725.0,103.2,110.8,1.43,16.9,22.3,68.7,45.9,55.0,99.48,45.2,1
8,7,720.0,110.2,110.9,1.46,15.1,30.2,74.3,51.9,54.8,100.57,48.5,10,4,672.0,105.0,103.5,1.34,16.2,26.8,72.6,50.7,54.9,102.61,50.9,1
7,7,682.0,110.7,111.1,1.78,18.6,27.9,72.4,51.3,57.3,98.74,51.2,9,6,730.0,115.5,111.9,1.45,16.3,30.6,68.2,49.2,58.8,94.72,50.4,1
3,13,768.0,101.1,111.7,1.33,17.0,25.4,70.2,47.2,53.6,106.0,44.2,9,6,720.0,112.3,104.7,1.92,19.5,32.6,73.8,53.2,56.0,97.1,54.3,1
5,10,720.0,107.1,112.9,1.85,17.1,26.6,73.4,49.5,53.8,98.73,46.5,11,3,687.0,114.3,109.1,1.7,16.1,27.9,71.5,50.4,57.5,101.45,52.4,1
12,3,730.0,114.8,106.8,1.61,18.1,28.9,72.0,51.6,60.2,100.87,54.6,7,8,730.0,109.5,105.9,1.9,18.2,26.8,73.8,49.9,56.0,99.62,52.3,1
5,9,677.0,103.9,106.6,1.38,15.8,28.7,71.1,49.4,53.3,102.13,47.7,8,6,672.0,105.6,103.1,1.67,18.0,27.0,77.0,51.7,54.8,98.93,52.0,1
7,9,768.0,102.6,108.5,1.5,17.4,25.8,74.6,49.6,54.4,99.5,47.6,12,4,783.0,110.8,107.4,1.6,18.4,26.8,72.9,51.3,58.6,102.34,54.9,1
5,10,730.0,109.6,110.3,1.58,15.5,30.4,70.6,49.4,54.3,99.88,47.1,7,8,725.0,108.4,112.5,1.77,17.6,26.0,69.1,47.1,55.9,102.95,48.9,0
5,8,624.0,107.6,112.1,1.76,17.6,25.6,70.7,47.9,55.2,105.19,47.7,9,6,740.0,107.7,106.3,1.78,18.2,23.0,71.4,47.2,56.1,95.32,51.0,1
8,7,720.0,110.2,110.9,1.46,15.1,30.2,74.3,51.9,54.8,100.57,48.5,7,7,672.0,105.9,105.1,1.76,17.1,28.1,71.2,49.4,53.5,100.36,50.9,1
5,10,730.0,106.5,112.5,1.21,13.3,30.5,70.3,50.1,53.3,101.06,44.7,7,9,768.0,111.5,110.6,1.65,17.9,33.0,72.9,53.2,56.3,103.75,51.7,1
3,12,730.0,97.5,107.0,1.38,16.2,20.6,72.8,46.7,52.0,100.96,44.6,8,6,677.0,116.8,108.9,1.92,19.1,26.8,77.7,52.7,59.6,102.98,54.3,1
11,3,687.0,114.3,109.1,1.7,16.1,27.9,71.5,50.4,57.5,101.45,52.4,5,10,730.0,109.6,110.3,1.58,15.5,30.4,70.6,49.4,54.3,99.88,47.1,0
12,4,783.0,110.8,107.4,1.6,18.4,26.8,72.9,51.3,58.6,102.34,54.9,7,7,682.0,110.6,107.7,1.84,17.2,26.4,73.2,49.9,56.3,101.6,51.0,0
3,13,768.0,101.1,111.7,1.33,17.0,25.4,70.2,47.2,53.6,106.0,44.2,8,6,672.0,105.6,103.1,1.67,18.0,27.0,77.0,51.7,54.8,98.93,52.0,1
9,6,720.0,112.3,104.7,1.92,19.5,32.6,73.8,53.2,56.0,97.1,54.3,7,9,768.0,111.5,110.6,1.65,17.9,33.0,72.9,53.2,56.3,103.75,51.7,1
10,4,672.0,105.0,103.5,1.34,16.2,26.8,72.6,50.7,54.9,102.61,50.9,9,7,768.0,109.4,108.1,1.97,19.6,23.5,71.6,47.9,57.0,98.91,51.6,1
7,9,768.0,102.6,108.5,1.5,17.4,25.8,74.6,49.6,54.4,99.5,47.6,7,8,730.0,109.5,105.9,1.9,18.2,26.8,73.8,49.9,56.0,99.62,52.3,0
12,3,730.0,114.8,106.8,1.61,18.1,28.9,72.0,51.6,60.2,100.87,54.6,3,12,730.0,97.5,107.0,1.38,16.2,20.6,72.8,46.7,52.0,100.96,44.6,0
5,8,624.0,107.6,112.1,1.76,17.6,25.6,70.7,47.9,55.2,105.19,47.7,9,6,730.0,115.5,111.9,1.45,16.3,30.6,68.2,49.2,58.8,94.72,50.4,1
7,7,682.0,110.7,111.1,1.78,18.6,27.9,72.4,51.3,57.3,98.74,51.2,8,4,576.0,110.4,104.5,1.33,16.3,28.5,72.6,51.7,58.7,99.46,54.3,1
12,3,720.0,110.3,100.3,1.68,16.5,31.4,73.6,52.2,54.6,101.5,55.1,3,12,725.0,103.2,110.8,1.43,16.9,22.3,68.7,45.9,55.0,99.48,45.2,0
9,6,740.0,107.7,106.3,1.78,18.2,23.0,71.4,47.2,56.1,95.32,51.0,7,7,672.0,105.9,105.1,1.76,17.1,28.1,71.2,49.4,53.5,100.36,50.9,0
10,4,672.0,105.0,103.5,1.34,16.2,26.8,72.6,50.7,54.9,102.61,50.9,5,9,677.0,103.9,106.6,1.38,15.8,28.7,71.1,49.4,53.3,102.13,47.7,0
5,10,730.0,106.5,112.5,1.21,13.3,30.5,70.3,50.1,53.3,101.06,44.7,9,7,768.0,109.4,108.1,1.97,19.6,23.5,71.6,47.9,57.0,98.91,51.6,1
8,7,720.0,110.2,110.9,1.46,15.1,30.2,74.3,51.9,54.8,100.57,48.5,7,8,725.0,108.4,112.5,1.77,17.6,26.0,69.1,47.1,55.9,102.95,48.9,0
7,7,682.0,110.7,111.1,1.78,18.6,27.9,72.4,51.3,57.3,98.74,51.2,5,10,720.0,107.1,112.9,1.85,17.1,26.6,73.4,49.5,53.8,98.73,46.5,1
7,8,730.0,109.5,105.9,1.9,18.2,26.8,73.8,49.9,56.0,99.62,52.3,7,7,682.0,110.6,107.7,1.84,17.2,26.4,73.2,49.9,56.3,101.6,51.0,1
3,11,672.0,103.9,112.8,1.3,14.6,29.1,72.6,50.1,52.8,95.82,43.8,8,4,586.0,109.3,105.6,1.57,16.3,31.1,75.7,52.1,54.2,100.51,50.2,1
7,9,768.0,102.6,108.5,1.5,17.4,25.8,74.6,49.6,54.4,99.5,47.6,8,6,672.0,105.6,103.1,1.67,18.0,27.0,77.0,51.7,54.8,98.93,52.0,1
3,12,725.0,103.2,110.8,1.43,16.9,22.3,68.7,45.9,55.0,99.48,45.2,12,4,783.0,110.8,107.4,1.6,18.4,26.8,72.9,51.3,58.6,102.34,54.9,1
11,3,687.0,114.3,109.1,1.7,16.1,27.9,71.5,50.4,57.5,101.45,52.4,3,13,768.0,101.1,111.7,1.33,17.0,25.4,70.2,47.2,53.6,106.0,44.2,0
8,4,576.0,110.4,104.5,1.33,16.3,28.5,72.6,51.7,58.7,99.46,54.3,9,6,740.0,107.7,106.3,1.78,18.2,23.0,71.4,47.2,56.1,95.32,51.0,1
9,6,720.0,112.3,104.7,1.92,19.5,32.6,73.8,53.2,56.0,97.1,54.3,8,6,677.0,116.8,108.9,1.92,19.1,26.8,77.7,52.7,59.6,102.98,54.3,1
5,10,720.0,107.1,112.9,1.85,17.1,26.6,73.4,49.5,53.8,98.73,46.5,7,9,768.0,111.5,110.6,1.65,17.9,33.0,72.9,53.2,56.3,103.75,51.7,1
12,3,720.0,110.3,100.3,1.68,16.5,31.4,73.6,52.2,54.6,101.5,55.1,5,8,624.0,107.6,112.1,1.76,17.6,25.6,70.7,47.9,55.2,105.19,47.7,1
12,3,730.0,114.8,106.8,1.61,18.1,28.9,72.0,51.6,60.2,100.87,54.6,9,7,768.0,109.4,108.1,1.97,19.6,23.5,71.6,47.9,57.0,98.91,51.6,0
11,3,687.0,114.3,109.1,1.7,16.1,27.9,71.5,50.4,57.5,101.45,52.4,7,8,725.0,108.4,112.5,1.77,17.6,26.0,69.1,47.1,55.9,102.95,48.9,1
5,10,730.0,109.6,110.3,1.58,15.5,30.4,70.6,49.4,54.3,99.88,47.1,5,9,677.0,103.9,106.6,1.38,15.8,28.7,71.1,49.4,53.3,102.13,47.7,0
8,7,720.0,110.2,110.9,1.46,15.1,30.2,74.3,51.9,54.8,100.57,48.5,5,10,730.0,106.5,112.5,1.21,13.3,30.5,70.3,50.1,53.3,101.06,44.7,0
8,6,672.0,105.6,103.1,1.67,18.0,27.0,77.0,51.7,54.8,98.93,52.0,7,7,682.0,110.6,107.7,1.84,17.2,26.4,73.2,49.9,56.3,101.6,51.0,1
7,9,768.0,111.5,110.6,1.65,17.9,33.0,72.9,53.2,56.3,103.75,51.7,12,4,783.0,110.8,107.4,1.6,18.4,26.8,72.9,51.3,58.6,102.34,54.9,1
12,3,730.0,114.8,106.8,1.61,18.1,28.9,72.0,51.6,60.2,100.87,54.6,3,13,768.0,101.1,111.7,1.33,17.0,25.4,70.2,47.2,53.6,106.0,44.2,0
5,10,730.0,106.5,112.5,1.21,13.3,30.5,70.3,50.1,53.3,101.06,44.7,7,8,730.0,109.5,105.9,1.9,18.2,26.8,73.8,49.9,56.0,99.62,52.3,0
3,12,725.0,103.2,110.8,1.43,16.9,22.3,68.7,45.9,55.0,99.48,45.2,3,12,730.0,97.5,107.0,1.38,16.2,20.6,72.8,46.7,52.0,100.96,44.6,1
10,4,672.0,105.0,103.5,1.34,16.2,26.8,72.6,50.7,54.9,102.61,50.9,3,11,672.0,103.9,112.8,1.3,14.6,29.1,72.6,50.1,52.8,95.82,43.8,0
8,4,586.0,109.3,105.6,1.57,16.3,31.1,75.7,52.1,54.2,100.51,50.2,9,6,730.0,115.5,111.9,1.45,16.3,30.6,68.2,49.2,58.8,94.72,50.4,1
8,7,720.0,110.2,110.9,1.46,15.1,30.2,74.3,51.9,54.8,100.57,48.5,8,6,677.0,116.8,108.9,1.92,19.1,26.8,77.7,52.7,59.6,102.98,54.3,1
9,6,720.0,112.3,104.7,1.92,19.5,32.6,73.8,53.2,56.0,97.1,54.3,7,7,672.0,105.9,105.1,1.76,17.1,28.1,71.2,49.4,53.5,100.36,50.9,0
5,10,730.0,109.6,110.3,1.58,15.5,30.4,70.6,49.4,54.3,99.88,47.1,8,4,576.0,110.4,104.5,1.33,16.3,28.5,72.6,51.7,58.7,99.46,54.3,1
9,6,740.0,107.7,106.3,1.78,18.2,23.0,71.4,47.2,56.1,95.32,51.0,5,10,720.0,107.1,112.9,1.85,17.1,26.6,73.4,49.5,53.8,98.73,46.5,0
5,8,624.0,107.6,112.1,1.76,17.6,25.6,70.7,47.9,55.2,105.19,47.7,7,9,768.0,102.6,108.5,1.5,17.4,25.8,74.6,49.6,54.4,99.5,47.6,0
12,3,720.0,110.3,100.3,1.68,16.5,31.4,73.6,52.2,54.6,101.5,55.1,7,7,682.0,110.7,111.1,1.78,18.6,27.9,72.4,51.3,57.3,98.74,51.2,0
7,7,672.0,105.9,105.1,1.76,17.1,28.1,71.2,49.4,53.5,100.36,50.9,5,10,730.0,109.6,110.3,1.58,15.5,30.4,70.6,49.4,54.3,99.88,47.1,0
